Titulo;Link
Guilherme Boulos é diagnosticado com covid-19 Segundo a assessoria, candidato do PSOL à Prefeitura de São Paulo não apresenta sintomas e irá cumprir o protocolo de quarentena;https://politica.estadao.com.br/noticias/eleicoes,boulos-e-diagnosticado-com-covid-19,70003531149
Isolamento no País cresce pela 1ª vez em seis meses, apontam dados de operadoras;https://saude.estadao.com.br/noticias/geral,isolamento-cresce-pela-1-vez-em-seis-meses-apontam-dados-de-operadoras-de-celular,70003531159
Sérgio Moro liga 'gabinete do ódio' a Carlos Bolsonaro e acusa grupo de atacá-lo;https://politica.estadao.com.br/blogs/fausto-macedo/em-depoimento-a-pf-moro-liga-gabinete-do-odio-a-carlos-bolsonaro-e-acusa-grupo-de-ataca-lo/
Em meio à pandemia, milionários dos EUA pedem para pagar mais imposto;https://www.estadao.com.br/infograficos/economia,covid-levanta-debate-sobre-impostos-e-ocde-sugere-que-ricos-sejam-mais-tributados,1136245#milionarios
Governador de Santa Catarina é absolvido em processo de impeachment;https://politica.estadao.com.br/noticias/geral,governador-de-sc-e-absolvido-em-processo-de-impeachment-e-vai-retornar-ao-cargo,70003531036
Hackers atacam TRF-1, pegam dados e comemoram com imagem de 'diabo';https://politica.estadao.com.br/blogs/fausto-macedo/hackers-atacam-trf-1-vazam-dados-na-rede-e-comemoram-com-imagem-de-diabo/
Farmácias dão descontos de até 80% e se tornam 2º segmento em compras;https://economia.estadao.com.br/noticias/geral,black-friday-2020-farmacias-oferecem-descontos-de-ate-80,70003531185
Erundina: Boulos deve ser claro sobre aumento de IPTU em bairros ricos;https://politica.estadao.com.br/noticias/eleicoes,erundina-diz-que-boulos-deve-ser-claro-sobre-aumento-de-iptu-em-bairros-ricos,70003531077
Eleitores que quiserem usar o e-Título têm até as 23h59 de amanhã para baixar app;https://politica.estadao.com.br/noticias/eleicoes,eleitores-que-quiserem-usar-o-e-titulo-no-segundo-turno-tem-ate-as-23h59-do-sabado-para-baixar-o-app,70003527739
Quem não for votar precisa prestar atenção aos prazos para justificar o voto;https://politica.estadao.com.br/noticias/eleicoes,como-justificar-o-voto-no-segundo-turno-das-eleicoes-2020,70003531180
Abstenção em SP é maior acima de 65 anos e entre jovens, mostra TSE;https://brpolitico.com.br/noticias/abstencao-em-sp-e-maior-acima-de-65-anos-e-entre-jovens-mostra-tse/
Falta de latas e garrafas tira cerveja do mercado; indústria passa a escolher quais produtos envasar;https://economia.estadao.com.br/noticias/geral,falta-de-latas-e-garrafas-tira-cerveja-do-mercado,70003531043
Carros, joias e imóveis: patrimônio de Maradona está avaliado em R$ 2,6 bi e será disputado pelos seus 11 filhos;https://esportes.estadao.com.br/noticias/futebol,carros-de-luxo-joias-e-imoveis-patrimonio-de-maradona-deve-ser-disputado-por-11-filhos,70003531009
Como conquistar credibilidade;https://opiniao.estadao.com.br/noticias/notas-e-informacoes,como-conquistar-credibilidade,70003530134
O programa anticorrupção;https://opiniao.estadao.com.br/noticias/notas-e-informacoes,o-programa-anticorrupcao,70003530147
O Ibama sem dentes;https://opiniao.estadao.com.br/noticias/notas-e-informacoes,o-ibama-sem-dentes,70003530150
No interior, um país cada vez mais rico;https://opiniao.estadao.com.br/noticias/editorial-economico,no-interior-um-pais-cada-vez-mais-rico,70003530155
Visons mortos por covid-19 ressurgem na superfície e serão queimados;https://internacional.estadao.com.br/noticias/geral,cadaveres-de-animais-mortos-por-coronavirus-na-dinamarca-ressurgem-na-superficie,70003530768
Principal cientista nuclear do Irã é assassinado a tiros, diz mídia estatal;https://internacional.estadao.com.br/noticias/geral,principal-cientista-nuclear-do-ira-e-assassinado-a-tiros-perto-de-teera-diz-midia-estatal,70003530891
Trump perde último recurso contra resultado das urnas na Pensilvânia;https://internacional.estadao.com.br/noticias/geral,campanha-de-trump-perde-ultimo-recurso-contra-os-resultados-das-eleicoes-na-pensilvania,70003531206
Oi fecha acordo com governo para pagar, em sete anos, R$ 7,2 bi em multas;https://economia.estadao.com.br/noticias/geral,oi-fecha-acordo-com-governo-para-pagar-em-sete-anos-r-7-2-bilhoes-em-multas,70003531281
Pix vira ameaça: Qual o interesse de bancos em empresas de maquininhas?;https://einvestidor.estadao.com.br/mercado/interesse-bancos-aquisicao-empresas-de-maquininhas/
Conheça relatos de quem já foi vítima de racismo ao fazer compras;https://brasil.estadao.com.br/noticias/geral,conheca-relatos-de-quem-ja-foi-vitima-de-racismo-ao-fazer-compras-e-se-sentiu-intimidado,70003530958
